,Latitude,Longitude,,sum paid,jan_r,feb_r,mar_r,apr_r,may_r,jun_r,jul_r,aug_r,sep_r,oct_r,nov_r,dec_r,avg_r,jan_t,feb_t,mar_t,apr_t,may_t,jun_t,jul_t,aug_t,sep_t,oct_t,nov_t,dec_t
62,18.3,-67.3,"(18.3, -67.3)",10864.15,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
63,18.3,-67.2,"(18.3, -67.2)",10864.15,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
64,18.3,-67.1,"(18.3, -67.1)",10864.15,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
65,18.3,-67,"(18.3, -67)",414808.45,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
66,18.3,-66.9,"(18.3, -66.9)",525140.28,13.74431301,13.18650794,11.79254302,17.36913357,27.16839135,24.56529517,25.94688027,28.50325203,35.40112465,28.76373626,28.9299691,18.61388074,22.83208559,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
67,18.3,-66.8,"(18.3, -66.8)",525140.28,16.02777778,7.120689655,11.15873016,16.05555556,22.20967742,7.848101266,9.816901408,20.26666667,33.31081081,34.65384615,16.3271028,3.6,16.53298831,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
68,18.3,-66.7,"(18.3, -66.7)",525140.28,16.02777778,7.120689655,11.15873016,16.05555556,22.20967742,7.848101266,9.816901408,20.26666667,33.31081081,34.65384615,16.3271028,3.6,16.53298831,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
69,18.3,-66.6,"(18.3, -66.6)",525140.28,12.82436011,12.88822355,9.747883349,14.36891386,23.67153285,20.74787535,20.56330749,25.16952209,32.21028037,33.5187901,32.83257091,19.28197946,21.48543662,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
70,18.3,-66.5,"(18.3, -66.5)",525140.28,16.02777778,7.120689655,11.15873016,16.05555556,22.20967742,7.848101266,9.816901408,20.26666667,33.31081081,34.65384615,16.3271028,3.6,16.53298831,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
71,18.3,-66.4,"(18.3, -66.4)",23768.93,16.02777778,7.120689655,11.15873016,16.05555556,22.20967742,7.848101266,9.816901408,20.26666667,33.31081081,34.65384615,16.3271028,3.6,16.53298831,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
72,18.3,-66.3,"(18.3, -66.3)",0,16.91278195,13.39386602,17.03213752,25.51353638,25.16640747,9.685337727,14.46923077,20.94144838,31.40982287,27.50866142,27.2287793,21.20941176,20.87261846,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
73,18.3,-66.2,"(18.3, -66.2)",0,16.91278195,13.39386602,17.03213752,25.51353638,25.16640747,9.685337727,14.46923077,20.94144838,31.40982287,27.50866142,27.2287793,21.20941176,20.87261846,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
74,18.3,-66.1,"(18.3, -66.1)",0,11.69122807,9.297021277,10.92408985,17.24621849,22.32800673,15.86093888,16.12529551,18.20677966,24.05180921,25.78212291,27.87264957,17.05906481,18.03710208,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
75,18.3,-66,"(18.3, -66)",525140.28,11.69122807,9.297021277,10.92408985,17.24621849,22.32800673,15.86093888,16.12529551,18.20677966,24.05180921,25.78212291,27.87264957,17.05906481,18.03710208,68.24805624,70.27731397,72.63407775,76.0791453,79.7853598,82.59525641,83.8751861,84.02200165,82.7917094,79.76162117,74.79991453,70.84772539
