Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
970-089,"Neuville, Canada",1914,2016,103,0.7203,0.11,0.65,0.04,0.21,46.7,-71.5667
970-099,"Sept-Iles, Canada",1972,2016,45,0.8879,0.84,0.62,0.27,0.2,50.2,-66.4
970-111,"Port Aux Basques, Canada",1959,2016,58,0.895,2.66,0.3,0.87,0.1,47.5667,-59.1333
970-116,"Argentia, Canada",1971,2016,46,0.9053,2.38,0.47,0.78,0.15,47.3,-53.9833
970-121,"St. Johns, NFLD, Canada",1935,2016,82,0.7428,2.05,0.39,0.67,0.13,47.5667,-52.7167
970-134,"Nain, Canada",1963,2010,48,0.3646,-2.02,0.74,-0.66,0.24,56.55,-61.7
970-141,"Churchill, Canada",1940,2016,77,0.8971,-9.35,0.5,-3.07,0.16,58.7667,-94.1833
970-162,"Alert, Canada",1965,2009,45,0.3258,-1.3,2.04,-0.43,0.67,82.49,-62.32
970-211,"Tuktoyaktuk, Canada",1961,2016,56,0.4197,2.72,1.22,0.89,0.4,69.4167,-132.9667
999-001,"Bahia Esperanza, Antarctica",1961,1993,33,0.351,-4.82,2.58,-1.58,0.85,-63.3,-56.9167
999-003,"Argentine Islands, Antarctica",1958,2014,57,0.9795,1.38,0.39,0.45,0.13,-65.25,-64.2667
